length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,web_traffic,google_index,page_rank
21,13,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,3,3,0,9,9,0,5.666666666666667,6.0,0.0,0,0,0,0,0,0,0,1,9
15,7,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2,0,3,1,2,2,0,5,4,0,3.6666666666666665,3.0,0.0,0,0,0,0,0,0,0,1,7
20,12,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,3,3,0,8,8,0,5.333333333333333,5.5,0.0,0,0,0,0,0,0,0,1,10
17,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,3,3,0,5,5,0,4.333333333333333,4.0,0.0,0,0,0,0,0,0,0,1,8
20,13,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,2,0,3,1,3,3,0,9,9,0,5.333333333333333,6.0,0.0,0,0,0,0,0,0,0,1,5
15,7,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,2,2,0,5,4,0,3.6666666666666665,3.0,0.0,0,0,0,0,0,0,0,1,6
19,11,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,3,3,0,7,7,0,5.0,5.0,0.0,0,0,0,0,0,0,0,1,10
22,14,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,3,3,0,10,10,0,6.0,6.5,0.0,0,0,0,0,0,0,0,1,9
21,13,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,3,3,0,9,9,0,5.666666666666667,6.0,0.0,0,0,0,0,0,0,0,1,10
19,11,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,3,3,0,7,7,0,5.0,5.0,0.0,0,0,0,0,0,0,0,1,10
