num_links,num_forms,num_inputs,num_scripts,num_iframes,has_login,num_meta,text_length,has_password_field,has_https_links,external_script_ratio,external_links_ratio,has_sensitive_keywords,num_exclamations,num_uppercase_words,avg_link_length,num_divs,num_images,num_inline_styles,num_css_files,num_external_css,url,error
113.0,1.0,1.0,6.0,0.0,0.0,5.0,12389.0,0.0,1.0,1.0,0.9823008849557522,1.0,0.0,7.0,51.2972972972973,36.0,2.0,0.0,3.0,3.0,,
0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
44.0,1.0,7.0,19.0,0.0,1.0,9.0,642.0,1.0,1.0,1.0,0.5681818181818182,1.0,0.0,3.0,37.54545454545455,32.0,2.0,2.0,5.0,5.0,,
120.0,1.0,5.0,15.0,0.0,0.0,16.0,33205.0,0.0,1.0,0.0,0.1,1.0,0.0,52.0,23.775,150.0,0.0,6.0,7.0,0.0,,
85.0,2.0,4.0,28.0,0.0,1.0,36.0,9228.0,0.0,1.0,1.0,0.6352941176470588,1.0,0.0,119.0,63.8235294117647,846.0,2.0,165.0,12.0,12.0,,
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
15.0,0.0,1.0,43.0,1.0,1.0,7.0,172.0,0.0,1.0,1.0,0.6,1.0,0.0,2.0,36.666666666666664,291.0,0.0,43.0,5.0,4.0,,
283.0,0.0,0.0,31.0,0.0,0.0,15.0,13260.0,0.0,1.0,0.0,0.18021201413427562,1.0,0.0,66.0,29.59010600706714,842.0,78.0,127.0,3.0,0.0,,
0.0,0.0,0.0,77.0,0.0,1.0,22.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,,
6.0,1.0,1.0,11.0,0.0,1.0,11.0,493.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,55.5,10.0,1.0,5.0,0.0,0.0,,
17.0,1.0,10.0,6.0,0.0,0.0,4.0,180.0,0.0,1.0,0.0,0.5882352941176471,0.0,0.0,0.0,34.588235294117645,10.0,1.0,11.0,0.0,0.0,,
190.0,0.0,0.0,18.0,0.0,1.0,9.0,14615.0,0.0,1.0,1.0,0.9842105263157894,1.0,0.0,27.0,58.06315789473684,163.0,31.0,44.0,3.0,3.0,,
367.0,2.0,2.0,65.0,0.0,0.0,34.0,17268.0,0.0,1.0,0.2545454545454545,0.9346049046321526,1.0,0.0,132.0,55.85123966942149,1929.0,116.0,38.0,25.0,1.0,,
158.0,2.0,4.0,6.0,0.0,0.0,24.0,5170.0,0.0,1.0,1.0,0.9493670886075949,1.0,0.0,6.0,84.00632911392405,54.0,7.0,14.0,1.0,1.0,,
