num_links,num_forms,num_inputs,num_scripts,num_iframes,has_login,num_meta,text_length,has_password_field,has_https_links,external_script_ratio,external_links_ratio,has_sensitive_keywords,num_exclamations,num_uppercase_words,avg_link_length,num_divs,num_images,num_inline_styles,num_css_files,num_external_css,label
35,0,0,17,1,0,14,1144,0,0,0.9090909090909091,0.0,1,1,6,2.1714285714285713,62,12,1,3,0,1
0,1,4,4,0,0,3,87,0,0,1.0,0.0,0,0,3,0.0,30,3,22,1,1,1
1,0,0,17,0,0,20,157,0,1,1.0,1.0,1,0,0,17.0,7,0,1,3,3,1
5,1,7,28,1,1,7,117,0,0,0.23076923076923078,0.0,1,0,4,1.0,54,1,23,15,0,1
54,3,17,132,10,0,15,2138,0,1,0.3076923076923077,0.07407407407407407,0,0,11,22.568627450980394,140,8,112,22,17,1
4,0,0,5,0,0,2,405,0,1,0.0,1.0,1,0,1,42.75,7,3,2,1,0,1
5,1,7,28,1,1,7,126,0,0,0.23076923076923078,0.0,1,0,4,1.0,54,1,23,15,0,1
3,0,1,2,0,1,2,1230,0,1,1.0,0.3333333333333333,1,0,5,48.0,23,0,0,1,0,1
16,1,5,14,0,1,10,361,1,1,0.0,0.3125,1,0,0,32.333333333333336,57,2,33,2,1,1
7,1,5,1,0,1,3,1077,1,0,0.0,0.0,0,0,11,1.0,49,2,10,4,0,1
9,1,5,11,0,1,17,537,0,1,1.0,0.2222222222222222,1,1,2,25.88888888888889,97,2,5,10,10,1
1,0,1,11,1,0,13,63,0,0,1.0,0.0,1,0,0,23.0,129,1,10,3,3,1
5,0,0,10,0,0,4,4155,0,1,0.0,0.6,0,14,9,31.0,154,14,19,2,0,1
240,3,16,79,8,0,29,36516,0,1,1.0,0.8166666666666667,1,0,59,58.34649122807018,533,53,129,23,23,1
43,0,2,26,4,1,6,2946,0,1,0.8695652173913043,0.23255813953488372,1,2,8,30.023255813953487,142,15,25,2,2,1
8,2,1,23,0,1,20,1278,0,1,1.0,0.625,1,5,1,30.666666666666668,111,5,26,13,1,1
6,0,0,4,0,0,3,784,0,1,1.0,1.0,1,3,4,105.83333333333333,21,5,0,1,1,1
6,0,0,4,0,0,3,784,0,1,1.0,1.0,1,3,4,105.83333333333333,21,5,0,1,1,1
2,1,4,17,0,1,9,380,1,0,0.0,0.0,0,0,1,29.0,25,0,1,3,0,1
0,1,2,4,0,0,2,229,1,0,1.0,0.0,1,0,0,0.0,5,2,6,3,0,1
0,1,0,4,3,0,1,14,0,0,1.0,0.0,0,0,0,0.0,10,0,10,1,1,1
299,2,2,31,6,0,28,11712,0,1,0.4090909090909091,1.0,1,0,142,48.1438127090301,310,46,129,6,0,1
11,1,9,7,0,1,2,285,1,0,1.0,0.0,1,0,1,1.0,47,1,8,0,0,1
11,1,9,7,0,1,2,285,1,0,1.0,0.0,1,0,1,1.0,47,1,8,0,0,1
11,1,9,15,0,1,2,285,1,0,0.36363636363636365,0.0,1,0,1,1.0,47,1,8,0,0,1
9,2,9,28,1,1,10,123,0,0,0.23076923076923078,0.0,1,0,8,1.0,57,4,23,13,0,1
2,0,1,10,0,0,15,137,0,1,1.0,0.5,1,2,0,81.0,111,2,11,3,3,1
13,3,14,6,0,1,2,2480,1,0,1.0,0.0,1,4,5,1.0,104,2,50,4,1,1
0,2,8,7,0,1,2,248,1,0,1.0,0.0,0,0,0,0.0,19,3,2,2,0,1
0,2,8,7,0,1,2,248,1,0,1.0,0.0,0,0,0,0.0,19,3,2,2,0,1
0,2,8,7,0,1,2,248,1,0,1.0,0.0,0,0,0,0.0,19,3,2,2,0,1
0,2,8,7,0,1,2,248,1,0,1.0,0.0,0,0,0,0.0,19,3,2,2,0,1
23,1,3,2,0,1,2,573,1,1,1.0,0.8695652173913043,1,0,9,75.5909090909091,82,0,2,1,0,1
5,3,4,18,0,1,2,677,0,0,0.1,0.0,1,0,11,22.0,31,2,13,7,0,1
5,3,4,18,0,1,2,677,0,0,0.1,0.0,1,0,11,22.0,31,2,13,7,0,1
5,3,4,18,0,1,2,677,0,0,0.1,0.0,1,0,11,22.0,31,2,13,7,0,1
5,3,4,18,0,1,2,677,0,0,0.1,0.0,1,0,11,22.0,31,2,13,7,0,1
11,1,9,15,0,1,2,285,1,0,0.36363636363636365,0.0,1,0,1,1.0,47,1,8,1,0,1
8,2,7,3,0,1,3,1108,1,0,0.0,0.0,1,0,11,1.0,49,2,11,4,0,1
56,1,2,53,2,1,4,2734,0,1,1.0,0.8928571428571429,0,1,4,36.875,25,1,8,20,20,1
144,3,8,15,0,1,14,2535,0,1,0.8,0.0763888888888889,1,0,10,38.34848484848485,55,0,20,3,0,1
5,1,0,0,1,0,2,631,0,0,0.0,0.0,0,1,16,27.2,13,2,8,8,0,1
5,1,0,0,1,0,2,631,0,0,0.0,0.0,0,1,16,27.2,13,2,8,8,0,1
0,1,1,5,0,0,3,189,0,0,0.0,0.0,0,0,0,0.0,15,0,9,1,0,1
0,1,1,5,0,0,3,189,0,0,0.0,0.0,0,0,0,0.0,15,0,9,1,0,1
85,1,4,64,1,1,16,2094,1,1,1.0,0.8235294117647058,1,2,10,48.4875,88,24,7,2,0,1
12,0,1,0,0,0,10,595,0,1,0.0,0.16666666666666666,0,0,16,22.4,35,15,4,8,0,1
7,0,0,17,3,1,13,286,0,0,0.3333333333333333,0.0,1,0,1,13.714285714285714,21,4,14,2,1,1
25,1,9,15,0,0,3,1041,0,1,0.2857142857142857,0.6,1,0,10,93.56,206,13,20,1,1,1
29,1,9,15,0,0,3,1055,0,1,0.2857142857142857,0.5172413793103449,1,0,12,164.24137931034483,226,17,20,1,1,1
5,1,0,0,1,0,2,631,0,0,0.0,0.0,0,1,16,27.2,13,2,8,8,0,1
29,1,9,15,1,0,3,1055,0,1,0.2857142857142857,0.5172413793103449,1,0,12,164.24137931034483,227,17,22,1,1,1
337,2,13,174,11,1,8,5229,0,1,0.6363636363636364,0.4035608308605341,1,0,87,44.22686567164179,909,116,163,13,0,1
337,2,13,175,8,1,8,5229,0,1,0.6417910447761194,0.4035608308605341,1,0,87,44.22686567164179,909,116,160,13,0,1
337,2,13,174,10,1,8,5229,0,1,0.6363636363636364,0.4035608308605341,1,0,87,44.22686567164179,909,116,162,13,0,1
337,2,13,175,10,1,8,5229,0,1,0.6417910447761194,0.4035608308605341,1,0,87,44.22686567164179,909,116,161,13,0,1
337,2,13,175,10,1,8,5229,0,1,0.6417910447761194,0.4035608308605341,1,0,87,44.22686567164179,909,116,162,13,0,1
337,2,13,174,11,1,8,5229,0,1,0.6363636363636364,0.4035608308605341,1,0,87,44.22686567164179,909,116,163,13,0,1
2,1,5,3,0,0,6,377,0,1,0.0,1.0,0,0,1,44.5,10,1,8,0,0,1
1,1,3,4,0,1,6,320,1,0,0.0,0.0,0,0,0,0.0,38,2,7,2,0,1
0,2,8,7,0,1,2,248,1,0,1.0,0.0,0,0,0,0.0,19,3,2,2,0,1
0,2,8,7,0,1,2,248,1,0,1.0,0.0,0,0,0,0.0,19,3,2,2,0,1
0,2,8,7,0,1,2,248,1,0,1.0,0.0,0,0,0,0.0,19,3,2,2,0,1
0,2,8,7,0,1,2,248,1,0,1.0,0.0,0,0,0,0.0,19,3,2,2,0,1
11,1,9,18,0,1,2,285,1,0,0.2857142857142857,0.0,1,0,1,1.0,47,1,8,1,0,1
5,1,8,30,1,1,9,61,0,0,0.2,0.0,1,0,1,1.0,54,3,25,8,0,1
38,0,0,17,6,1,13,1870,0,1,1.0,0.6052631578947368,1,1,9,29.394736842105264,102,16,25,5,2,1
44,0,2,26,4,1,6,2967,0,1,0.8695652173913043,0.25,1,2,9,32.09090909090909,142,15,25,2,2,1
1,0,0,11,0,0,10,4,0,1,1.0,1.0,0,0,1,36.0,90,1,50,1,1,1
0,0,2,5,0,1,6,94,1,0,0.0,0.0,0,0,0,0.0,6,1,6,3,1,1
10,0,0,7,0,0,3,497,0,0,0.2857142857142857,0.0,1,0,1,16.0,45,8,5,4,2,1
10,0,0,7,0,0,3,497,0,0,0.2857142857142857,0.0,1,0,1,16.0,45,8,5,4,2,1
39,0,0,20,6,1,14,1841,0,1,1.0,0.02564102564102564,1,1,9,13.157894736842104,103,16,26,4,1,1
41,2,248,14,3,1,8,829,1,1,1.0,0.6829268292682927,0,1,13,41.07142857142857,123,24,284,3,2,1
27,1,16,23,1,1,8,527,1,1,1.0,0.9629629629629629,1,0,8,40.5,32,4,4,2,2,1
1,0,0,11,0,0,10,4,0,1,1.0,1.0,0,0,1,39.0,50,1,22,1,1,1
0,0,2,5,0,1,6,94,1,0,0.0,0.0,0,0,0,0.0,6,1,6,3,1,1
0,0,2,5,0,1,6,94,1,0,0.0,0.0,0,0,0,0.0,6,1,6,3,1,1
30,1,10,23,2,1,8,628,1,1,0.6363636363636364,0.9666666666666667,1,2,8,47.310344827586206,32,5,4,2,2,1
43,0,2,26,3,1,6,2946,0,1,0.8695652173913043,0.23255813953488372,1,2,8,30.023255813953487,142,15,24,2,2,1
10,0,0,6,0,0,3,957,0,0,1.0,0.0,0,4,7,7.8,46,9,1,2,1,1
10,0,0,6,0,0,3,957,0,0,1.0,0.0,0,4,7,7.8,46,9,1,2,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,0,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,80,2,11,1,1,1
18,1,8,11,1,0,3,509,0,1,0.4,0.7777777777777778,1,0,0,67.22222222222223,81,2,13,1,1,1
265,2,13,0,3,0,34,16495,0,1,0.0,0.9471698113207547,1,1,54,69.05703422053232,222,46,98,23,0,1
265,2,13,0,3,0,34,16495,0,1,0.0,0.9471698113207547,1,1,54,69.05703422053232,222,46,98,23,0,1
5,0,7,3,0,0,5,1419,0,0,0.0,0.0,1,1,4,12.5,45,8,30,6,2,1
0,0,46,6,0,1,6,946,0,0,0.0,0.0,0,0,59,0.0,116,13,118,4,1,1
0,0,46,6,0,1,6,946,0,0,0.0,0.0,0,0,59,0.0,116,13,118,4,1,1
0,0,2,5,0,1,6,94,1,0,0.0,0.0,0,0,0,0.0,6,1,6,3,1,1
0,0,2,5,0,1,6,94,1,0,0.0,0.0,0,0,0,0.0,6,1,6,3,1,1
58,2,5,5,0,1,3,1444,1,0,0.2,0.0,1,0,9,1.0,35,2,0,3,0,1
0,0,2,5,0,1,6,94,1,0,0.0,0.0,0,0,0,0.0,6,1,6,3,1,1
39,0,0,20,6,1,14,1841,0,1,1.0,0.02564102564102564,1,1,9,13.157894736842104,103,16,26,4,1,1
0,2,5,3,0,1,3,242,0,0,0.0,0.0,1,0,0,0.0,26,0,36,4,4,1
5,1,8,24,1,1,9,168,0,0,0.2727272727272727,0.0,1,0,1,1.0,38,3,18,8,0,1
0,0,0,3,1,0,4,183,0,0,0.0,0.0,0,0,10,0.0,32,1,9,0,0,1
20,0,0,6,0,0,13,1270,0,1,1.0,0.05,0,1,0,13.35,21,1,0,3,1,1
44,1,3,16,0,0,23,5708,0,1,0.8571428571428571,0.36363636363636365,1,2,8,22.318181818181817,161,44,39,2,0,1
0,1,5,4,0,0,3,86,0,0,1.0,0.0,0,0,0,0.0,28,1,16,1,1,1
0,0,0,3,1,0,4,186,0,0,0.0,0.0,0,0,10,0.0,32,1,9,0,0,1
8,0,0,3,1,0,3,253,0,1,1.0,0.25,0,0,0,32.875,22,4,15,3,1,1
0,3,3,42,0,1,11,387,0,0,0.05128205128205128,0.0,1,0,0,0.0,64,7,20,14,1,1
0,3,3,42,0,1,11,387,0,0,0.05128205128205128,0.0,1,0,0,0.0,64,7,20,14,1,1
0,1,11,14,0,0,2,46,0,0,1.0,0.0,1,0,2,0.0,20,2,5,2,0,1
0,1,22,14,0,0,2,166,0,0,1.0,0.0,1,0,14,0.0,46,3,19,2,0,1
