domain,domain_length,subdomain_count,has_suspicious_keywords,A_record_count,ttl_avg,has_multiple_A_records,CNAME_count,MX_count,NS_count,TXT_count,has_AAAA,symbol_ratio,whois_days_to_expire,whois_success
microsoft.com,13.0,0.0,0.0,1.0,603.0,0.0,0.0,1.0,4.0,38.0,1.0,1.0,224.0,1.0
mail.ru,7.0,0.0,0.0,3.0,40.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,375.0,1.0
facebook.com,12.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,3112.0,1.0
apple.com,9.0,0.0,0.0,1.0,141.0,0.0,0.0,6.0,4.0,19.0,1.0,1.0,152.0,1.0
amazonaws.com,13.0,0.0,0.0,3.0,664.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,482.0,1.0
dzen.ru,7.0,0.0,0.0,3.0,232.0,1.0,0.0,1.0,2.0,9.0,0.0,1.0,336.0,1.0
youtube.com,11.0,0.0,0.0,4.0,158.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,147.0,1.0
cloudflare.com,14.0,0.0,0.0,2.0,61.0,1.0,0.0,4.0,5.0,23.0,1.0,1.0,2707.0,1.0
instagram.com,13.0,0.0,0.0,1.0,11.0,0.0,0.0,2.0,4.0,8.0,1.0,1.0,3178.0,1.0
twitter.com,11.0,0.0,0.0,1.0,9.0,0.0,0.0,5.0,8.0,23.0,0.0,1.0,122.0,1.0
google.com,10.0,0.0,0.0,1.0,298.0,0.0,0.0,1.0,4.0,12.0,1.0,1.0,1089.0,1.0
office.com,10.0,0.0,0.0,1.0,176.0,0.0,0.0,0.0,4.0,9.0,1.0,1.0,211.0,1.0
azure.com,9.0,0.0,0.0,5.0,1883.0,1.0,0.0,1.0,4.0,19.0,0.0,1.0,33.0,1.0
linkedin.com,12.0,0.0,0.0,1.0,280.0,0.0,0.0,4.0,8.0,20.0,1.0,1.0,42.0,1.0
live.com,8.0,0.0,0.0,1.0,3437.0,0.0,0.0,1.0,4.0,7.0,0.0,1.0,97.0,1.0
googlevideo.com,15.0,0.0,0.0,6.0,296.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,246.0,1.0
fbcdn.net,9.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,3147.0,1.0
workers.dev,11.0,0.0,0.0,2.0,300.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,-1.0,0.0
doubleclick.net,15.0,0.0,0.0,6.0,167.0,1.0,0.0,5.0,4.0,3.0,1.0,1.0,118.0,1.0
github.com,10.0,0.0,0.0,1.0,11.0,0.0,0.0,5.0,8.0,18.0,0.0,1.0,384.0,1.0
fastly.net,10.0,0.0,0.0,4.0,2259.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,575.0,1.0
whatsapp.net,12.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,3074.0,1.0
icloud.com,10.0,0.0,0.0,1.0,438.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,116.0,1.0
easycruit.com,13.0,0.0,0.0,4.0,60.0,1.0,0.0,5.0,4.0,5.0,1.0,1.0,291.0,1.0
youtu.be,8.0,0.0,0.0,4.0,99.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,-1.0,0.0
netflix.com,11.0,0.0,0.0,3.0,30.0,1.0,0.0,5.0,4.0,34.0,1.0,1.0,50.0,1.0
pinterest.com,13.0,0.0,0.0,4.0,136.0,1.0,0.0,5.0,4.0,28.0,0.0,1.0,432.0,1.0
bing.com,8.0,0.0,0.0,2.0,744.0,1.0,0.0,1.0,8.0,5.0,1.0,1.0,131.0,1.0
skype.com,9.0,0.0,0.0,5.0,2340.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,214.0,1.0
sharepoint.com,14.0,0.0,0.0,2.0,708.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,322.0,1.0
digicert.com,12.0,0.0,0.0,2.0,256.0,1.0,0.0,1.0,10.0,26.0,0.0,1.0,801.0,1.0
googlesyndication.com,21.0,0.0,0.0,6.0,111.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,122.0,1.0
goo.gl,6.0,0.0,0.0,6.0,60.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,103.0,1.0
whatsapp.com,12.0,0.0,0.0,1.0,29.0,0.0,0.0,2.0,4.0,8.0,1.0,1.0,2905.0,1.0
adobe.com,9.0,0.0,0.0,2.0,16.0,1.0,0.0,2.0,6.0,64.0,1.0,1.0,238.0,1.0
tiktokv.com,11.0,0.0,0.0,9.0,20.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,364.0,1.0
roblox.com,10.0,0.0,0.0,1.0,18.0,0.0,0.0,5.0,8.0,26.0,0.0,1.0,496.0,1.0
spotify.com,11.0,0.0,0.0,1.0,206.0,0.0,0.0,7.0,5.0,29.0,1.0,1.0,1675.0,1.0
vimeo.com,9.0,0.0,0.0,2.0,142.0,1.0,0.0,5.0,4.0,45.0,0.0,1.0,85.0,1.0
windows.net,11.0,0.0,0.0,5.0,484.0,1.0,0.0,0.0,4.0,5.0,0.0,1.0,256.0,1.0
msn.com,7.0,0.0,0.0,1.0,2553.0,0.0,0.0,1.0,8.0,6.0,0.0,1.0,256.0,1.0
bit.ly,6.0,0.0,0.0,2.0,179.0,1.0,0.0,5.0,8.0,10.0,0.0,1.0,-1.0,0.0
google-analytics.com,20.0,0.0,0.0,6.0,121.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,301.0,1.0
ntp.org,7.0,0.0,0.0,2.0,2497.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,3407.0,1.0
wordpress.com,13.0,0.0,0.0,2.0,175.0,1.0,0.0,2.0,4.0,3.0,0.0,1.0,2720.0,1.0
tiktok.com,10.0,0.0,0.0,4.0,11.0,1.0,0.0,3.0,6.0,23.0,0.0,1.0,302.0,1.0
x.com,5.0,0.0,0.0,1.0,247.0,0.0,0.0,5.0,8.0,18.0,0.0,1.0,3317.0,1.0
mozilla.org,11.0,0.0,0.0,1.0,178.0,0.0,0.0,4.0,4.0,14.0,1.0,1.0,489.0,1.0
zoom.us,7.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,4.0,49.0,1.0,1.0,580.0,1.0
gandi.net,9.0,0.0,0.0,1.0,600.0,0.0,0.0,2.0,7.0,7.0,1.0,1.0,242.0,1.0
nic.ru,6.0,0.0,0.0,2.0,39.0,1.0,0.0,1.0,3.0,12.0,0.0,1.0,71.0,1.0
office365.com,13.0,0.0,0.0,2.0,889.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,273.0,1.0
yandex.net,10.0,0.0,0.0,1.0,336.0,0.0,0.0,1.0,2.0,6.0,1.0,1.0,54.0,1.0
opera.com,9.0,0.0,0.0,2.0,187.0,1.0,0.0,5.0,5.0,13.0,0.0,1.0,205.0,1.0
samsung.com,11.0,0.0,0.0,1.0,154.0,0.0,0.0,1.0,15.0,41.0,0.0,1.0,68.0,1.0
blogspot.com,12.0,0.0,0.0,1.0,300.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,314.0,1.0
intuit.com,10.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,10.0,52.0,0.0,1.0,89.0,1.0
cloudflare-dns.com,18.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,2745.0,1.0
baidu.com,9.0,0.0,0.0,2.0,254.0,1.0,0.0,2.0,5.0,4.0,0.0,1.0,1116.0,1.0
unity3d.com,11.0,0.0,0.0,1.0,17.0,0.0,0.0,7.0,8.0,41.0,0.0,1.0,375.0,1.0
googledomains.com,17.0,0.0,0.0,1.0,300.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,323.0,1.0
nginx.org,9.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,93.0,1.0
sentry.io,9.0,0.0,0.0,1.0,3565.0,0.0,0.0,5.0,4.0,26.0,0.0,1.0,-1.0,0.0
windows.com,11.0,0.0,0.0,5.0,349.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,256.0,1.0
nginx.com,9.0,0.0,0.0,1.0,600.0,0.0,0.0,1.0,2.0,11.0,0.0,1.0,93.0,1.0
vk.com,6.0,0.0,0.0,6.0,218.0,1.0,0.0,1.0,4.0,8.0,0.0,1.0,275.0,1.0
t.me,4.0,0.0,0.0,1.0,97.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,-1.0,0.0
outlook.com,11.0,0.0,0.0,9.0,35.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,330.0,1.0
telekom.de,10.0,0.0,0.0,3.0,600.0,1.0,0.0,5.0,4.0,27.0,0.0,1.0,-1.0,0.0
europa.eu,9.0,0.0,0.0,2.0,300.0,1.0,0.0,2.0,12.0,18.0,1.0,1.0,-1.0,0.0
apache.org,10.0,0.0,0.0,1.0,1800.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,1299.0,1.0
wa.me,5.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,-1.0,0.0
criteo.com,10.0,0.0,0.0,1.0,60.0,0.0,0.0,1.0,2.0,33.0,1.0,1.0,3556.0,1.0
github.io,9.0,0.0,0.0,4.0,104.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,-1.0,0.0
